Index,Customer Name,Customer ID,Product,Price
1,Muhammed MacIntyre,3,Storage & Organization,38.94
2,Barry French,293,Appliances,208.16
3,Barry French,293,Binders and Binder Accessories,8.69
4,Clay Rozendal,483,Telephones and Communication,195.99
5,Carlos Soltero,515,Appliances,21.78
6,Carlos Soltero,515,Office Furnishings,6.64
7,Carl Jackson,613,Binders and Binder Accessories,7.3
8,Carl Jackson,613,Storage & Organization,42.76
9,Monica Federle,643,Storage & Organization,138.14
10,Dorothy Badders,678,Paper,4.98
11,Neola Schneider,807,Paper,4.28
12,Neola Schneider,807,Rubber Bands,3.95
13,Carlos Daly,868,Appliances,21.78
14,Carlos Daly,868,Computer Peripherals,47.98
15,Claudia Miner,933,Binders and Binder Accessories,5.28
16,Neola Schneider,995,Office Furnishings,39.89
17,Allen Rosenblatt,998,Envelopes,15.74
18,Sylvia Foulston,1154,Bookcases,100.98
19,Sylvia Foulston,1154,Tables,71.37
20,Jim Radford,1344,Telephones and Communication,65.99
21,Jim Radford,1344,Telephones and Communication,155.99
22,Carlos Soltero,1412,Labels,3.69
23,Carlos Soltero,1412,Rubber Bands,4.71
24,Carl Ludwig,1539,Binders and Binder Accessories,15.99
25,Carl Ludwig,1539,Computer Peripherals,4.89
26,Don Miller,1540,Pens & Art Supplies,2.88
27,Annie Cyprus,1702,Pens & Art Supplies,2.84
28,Carl Ludwig,1761,Copiers and Fax,449.99
29,Carlos Soltero,1792,Storage & Organization,13.48
30,Grant Carroll,2275,Pens & Art Supplies,6.08
31,Don Miller,2277,Computer Peripherals,5.98
32,Don Miller,2277,Paper,40.99
33,Alan Barnes,2532,Labels,7.31
34,Alan Barnes,2532,Telephones and Communication,20.99
35,Jack Garza,2631,Computer Peripherals,40.96
36,Julia West,2757,Chairs & Chairmats,95.95
37,Eugene Barchas,2791,Binders and Binder Accessories,3.89
38,Eugene Barchas,2791,Chairs & Chairmats,120.98
39,Eugene Barchas,2791,Paper,30.98
40,Edward Hooks,2976,Chairs & Chairmats,500.98
41,Brad Eason,3232,Binders and Binder Accessories,7.84
42,Nicole Hansen,3524,Paper,18.97
43,Dorothy Wardle,3908,Telephones and Communication,115.99
44,Aaron Bergman,4132,Labels,2.88
45,Jim Radford,4612,Appliances,4.48
46,Annie Cyprus,4676,Telephones and Communication,125.99
47,Annie Cyprus,4676,Labels,3.75
48,Annie Cyprus,4676,Paper,12.28
49,Annie Cyprus,4676,Telephones and Communication,155.99
50,Annie Cyprus,5284,Binders and Binder Accessories,8.69
51,Clay Rozendal,5316,Computer Peripherals,31.78
52,Don Jones,5409,Paper,3.98
53,Beth Thompson,5506,Paper,5.88
54,Frank Price,5569,Office Furnishings,9.65
55,Michelle Lonsdale,5607,Telephones and Communication,7.99
56,Ann Chong,5894,Binders and Binder Accessories,58.1
57,Ann Chong,5894,Appliances,80.48
58,Joy Bell,5925,Office Furnishings,92.23
59,Joy Bell,5925,Telephones and Communication,85.99
60,Skye Norling,6016,Paper,11.48
61,Barry Weirich,6116,"Scissors, Rulers and Trimmers",1637.53
62,Grant Carroll,6182,Paper,6.48
63,Grant Carroll,6182,Paper,6.48
64,Adrian Hane,6535,Pens & Art Supplies,28.15
65,Skye Norling,6884,Paper,4.98
66,Skye Norling,6884,Paper,6.35
67,Andrew Gjertsen,6916,Storage & Organization,10.9
68,Ralph Knight,6980,Binders and Binder Accessories,7.3
